2017-02-06 01:31:16,233 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=c320b940-4ae5-485e-9461-365829c76fc6
2017-02-06 02:26:46,415 [19] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Normal to Low with input 35
2017-02-06 02:26:46,426 [19] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Normal, new=Low
2017-02-06 02:27:09,556 [20] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Low to Lowest with input 20
2017-02-06 02:27:09,569 [20] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Low, new=Lowest
2017-02-06 02:49:15,541 [4] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Lowest to Low with input 35
2017-02-06 02:49:15,549 [4] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Lowest, new=Low
2017-02-06 02:54:42,415 [17] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Low to Lowest with input 20
2017-02-06 02:54:42,422 [17] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Low, new=Lowest
2017-02-06 03:45:28,859 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - OnStopRequested: serverid=8621fd59-9b90-44f9-8691-1e7a0632b321
2017-02-06 03:45:28,869 [1] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=Game
2017-02-06 03:45:28,876 [23] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - connection to master closed (id=2, reason=ManagedDisconnect, detail=), serverId=8621fd59-9b90-44f9-8691-1e7a0632b321
2017-02-06 03:45:28,917 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TearDown: serverId=8621fd59-9b90-44f9-8691-1e7a0632b321
2017-02-06 03:45:28,926 [1] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=Game
2017-02-06 03:47:14,635 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=09b139c3-fe14-4a37-88db-d16bb0e56709
2017-02-06 03:47:15,167 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - HTTP Queue performance counters successfully initialized
2017-02-06 03:47:15,174 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - Internal HTTP Queue performance counters successfully created
2017-02-06 03:47:15,187 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TokenCreator intialized with an expiration of 02:46:40
2017-02-06 03:47:15,205 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Business Logic Queue
2017-02-06 03:47:15,211 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Queue
2017-02-06 03:47:15,218 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes in/sec
2017-02-06 03:47:15,224 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes out/sec
2017-02-06 03:47:15,230 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Processing
2017-02-06 03:47:15,236 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Active
2017-02-06 03:47:15,242 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: In (ms)
2017-02-06 03:47:15,248 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: Out (ms)
2017-02-06 03:47:15,254 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers +/sec
2017-02-06 03:47:15,261 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2017-02-06 03:47:15,267 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2017-02-06 03:47:15,273 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2017-02-06 03:47:15,279 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2017-02-06 03:47:15,285 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2017-02-06 03:47:15,300 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Could not initialize Feedback Control System from configuration: Invalid configuration file D:\Baldo\Documents\GitHub\CMPE4371_Senior_GameNet\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config. Using default settings... (Could not find file 'D:\Baldo\Documents\GitHub\CMPE4371_Senior_GameNet\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config'.)
2017-02-06 03:47:15,315 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in D:\Baldo\Documents\GitHub\CMPE4371_Senior_GameNet\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\ServerState.txt
2017-02-06 03:47:15,323 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2017-02-06 03:47:15,330 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2017-02-06 03:47:15,380 [1] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=09b139c3-fe14-4a37-88db-d16bb0e56709
2017-02-06 03:47:15,411 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=Game; AppPath=D:\Baldo\Documents\GitHub\CMPE4371_Senior_GameNet\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\LoadBalancing\GameServer, Type=Photon.LoadBalancing.GameServer.GameApplication 
2017-02-06 03:47:15,424 [1] INFO  Photon.SocketServer.Diagnostics.CounterPublisher - CounterPublisher started publishing ExitGames.Diagnostics.Monitoring.CounterSamplePublisher to ExitGames.Diagnostics.Monitoring.CounterSampleSender
2017-02-06 03:47:16,471 [13] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection established: address:127.0.0.1
2017-02-06 03:47:16,477 [13] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2017-02-06 03:47:16,486 [13] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Registering game server with address 127.0.0.1, TCP 4531, UDP 5056, WebSocket 9091, Secure WebSocket 19091, HTTP 80, ServerID 09b139c3-fe14-4a37-88db-d16bb0e56709, Hostname localhost, IPv6Address 
2017-02-06 03:47:16,571 [13] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Successfully registered at master server: serverId=09b139c3-fe14-4a37-88db-d16bb0e56709
2017-02-06 03:56:59,682 [8] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Lowest to Low with input 35
2017-02-06 03:56:59,690 [8] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Lowest, new=Low
2017-02-06 03:58:11,022 [13] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Low to Lowest with input 20
2017-02-06 03:58:11,053 [13] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Low, new=Lowest
2017-02-06 05:15:36,712 [24] INFO  Photon.Common.LoadBalancer.LoadShedding.FeedbackController - Transit CpuUsage from Lowest to Low with input 35
2017-02-06 05:15:36,768 [24] INFO  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - FeedbackLevel changed: old=Lowest, new=Low
2017-02-10 09:43:16,219 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=82431787-6a85-4374-8efc-2075d6c96528
2017-02-10 09:43:16,752 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - HTTP Queue performance counters successfully initialized
2017-02-10 09:43:16,757 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - Internal HTTP Queue performance counters successfully created
2017-02-10 09:43:16,769 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TokenCreator intialized with an expiration of 02:46:40
2017-02-10 09:43:16,785 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Business Logic Queue
2017-02-10 09:43:16,790 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Queue
2017-02-10 09:43:16,795 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes in/sec
2017-02-10 09:43:16,800 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes out/sec
2017-02-10 09:43:16,805 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Processing
2017-02-10 09:43:16,811 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Active
2017-02-10 09:43:16,816 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: In (ms)
2017-02-10 09:43:16,821 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: Out (ms)
2017-02-10 09:43:16,826 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers +/sec
2017-02-10 09:43:16,831 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2017-02-10 09:43:16,836 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2017-02-10 09:43:16,841 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2017-02-10 09:43:16,846 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2017-02-10 09:43:16,851 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2017-02-10 09:43:16,865 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Could not initialize Feedback Control System from configuration: Invalid configuration file D:\Baldo\Documents\GitHub\CMPE4371_Senior_GameNet\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config. Using default settings... (Could not find file 'D:\Baldo\Documents\GitHub\CMPE4371_Senior_GameNet\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config'.)
2017-02-10 09:43:16,878 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in D:\Baldo\Documents\GitHub\CMPE4371_Senior_GameNet\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\ServerState.txt
2017-02-10 09:43:16,885 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2017-02-10 09:43:16,891 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2017-02-10 09:43:17,010 [1] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=82431787-6a85-4374-8efc-2075d6c96528
2017-02-10 09:43:17,038 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=Game; AppPath=D:\Baldo\Documents\GitHub\CMPE4371_Senior_GameNet\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\LoadBalancing\GameServer, Type=Photon.LoadBalancing.GameServer.GameApplication 
2017-02-10 09:43:17,048 [1] INFO  Photon.SocketServer.Diagnostics.CounterPublisher - CounterPublisher started publishing ExitGames.Diagnostics.Monitoring.CounterSamplePublisher to ExitGames.Diagnostics.Monitoring.CounterSampleSender
2017-02-10 09:43:18,478 [12] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection established: address:127.0.0.1
2017-02-10 09:43:18,483 [12] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2017-02-10 09:43:18,493 [12] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Registering game server with address 127.0.0.1, TCP 4531, UDP 5056, WebSocket 9091, Secure WebSocket 19091, HTTP 80, ServerID 82431787-6a85-4374-8efc-2075d6c96528, Hostname localhost, IPv6Address 
2017-02-10 09:43:18,574 [10] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Successfully registered at master server: serverId=82431787-6a85-4374-8efc-2075d6c96528
2017-02-10 09:48:44,399 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - OnStopRequested: serverid=82431787-6a85-4374-8efc-2075d6c96528
2017-02-10 09:48:44,437 [1] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=Game
2017-02-10 09:48:44,442 [18] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - connection to master closed (id=2, reason=ManagedDisconnect, detail=), serverId=82431787-6a85-4374-8efc-2075d6c96528
2017-02-10 09:48:44,503 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TearDown: serverId=82431787-6a85-4374-8efc-2075d6c96528
2017-02-10 09:48:44,512 [1] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=Game
2017-02-10 11:14:18,056 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=df63ec55-6d9f-4fab-8504-cdb02048dc95
2017-02-10 11:14:18,652 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - HTTP Queue performance counters successfully initialized
2017-02-10 11:14:18,658 [1] INFO  Photon.SocketServer.Diagnostics.HttpQueuePerformanceCounters - Internal HTTP Queue performance counters successfully created
2017-02-10 11:14:18,671 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TokenCreator intialized with an expiration of 02:46:40
2017-02-10 11:14:18,691 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Business Logic Queue
2017-02-10 11:14:18,697 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Queue
2017-02-10 11:14:18,702 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes in/sec
2017-02-10 11:14:18,707 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter bytes out/sec
2017-02-10 11:14:18,713 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Processing
2017-02-10 11:14:18,718 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter ENet Threads Active
2017-02-10 11:14:18,723 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: In (ms)
2017-02-10 11:14:18,728 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter Time Spent In Server: Out (ms)
2017-02-10 11:14:18,733 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers +/sec
2017-02-10 11:14:18,738 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2017-02-10 11:14:18,744 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2017-02-10 11:14:18,749 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2017-02-10 11:14:18,754 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2017-02-10 11:14:18,759 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2017-02-10 11:14:18,773 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Could not initialize Feedback Control System from configuration: Invalid configuration file D:\Baldo\Documents\GitHub\CMPE4371_Senior_GameNet\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config. Using default settings... (Could not find file 'D:\Baldo\Documents\GitHub\CMPE4371_Senior_GameNet\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config'.)
